data_package_id	publication_doi
2	10.1111/j.1420-9101.2011.02302.x
12	10.1371/journal.pone.0018657
18	10.1038/nature04336
22	10.1186/1471-2148-9-187
29	10.1080/00063650903477046
39	10.1002/jmor.10712
45	10.1002/ece3.16
51	10.1111/j.1558-5646.2011.01315.x
56	10.1126/science.1214449
61	10.1126/science.1205140
67	10.1111/j.1558-5646.2011.01423.x
78	10.1016/j.beproc.2011.10.002
84	10.1128/mbio.00036-12
88	10.1073/pnas.1113870109
94	10.3732/ajb.1100537
100	10.1016/j.ympev.2012.02.008
104	10.1111/j.1365-294x.2012.05556.x
110	10.1111/j.1365-294x.2011.05412.x
117	10.1666/10060.1
121	10.1093/gbe/evs038
127	10.1111/j.1755-0998.2012.03121.x
137	10.1126/science.1194167
143	10.1371/journal.ppat.1000446
149	10.1111/j.1558-5646.2010.01008.x
153	10.1111/j.1096-3642.2011.00747.x
160	10.1093/molbev/mss020
166	10.1126/science.1210173
170	10.1016/j.ympev.2011.06.012
176	10.1111/j.1096-0031.2012.00401.x
182	10.1111/j.1558-5646.2010.01119.x
186	10.1007/s11557-011-0800-z
192	10.1093/bioinformatics/btr451
198	10.1007/s00265-011-1271-6
202	10.1890/11-0273.1
209	10.1111/j.1365-294x.2011.05093.x
215	10.1666/09028.1
219	10.1111/j.1365-294x.2012.05454.x
225	10.1111/j.1558-5646.2010.01071.x
231	10.1126/science.1194513
241	10.1666/10007.1
252	10.1111/j.1365-294x.2010.04639.x
258	10.1080/106351598261012
264	10.1111/j.1365-294x.2009.04195.x
268	10.1111/j.1365-294x.2010.04710.x
269	10.1111/j.1365-294x.2010.04615.x
274	10.1111/j.1420-9101.2010.02048.x
280	10.1111/j.1365-294x.2011.05196.x
284	10.1111/j.1365-294x.2009.04198.x
291	10.1111/j.1365-294x.2009.04224.x
297	10.1080/10635150116801
301	10.1086/650722
304	10.1111/j.1365-294x.2008.03993.x
307	10.1111/j.1365-294x.2009.04265.x
313	10.1111/j.1365-294x.2011.05184.x
317	10.1098/rsbl.2009.0741
320	10.1038/ng766
323	10.1093/jhered/esn039
329	10.1080/106351598260572
333	10.1600/036364409789271245
340	10.1016/j.ympev.2008.08.015
346	10.1111/j.1095-8312.2010.01421.x
350	10.1111/j.1365-294x.2011.05199.x
356	10.1111/j.1365-294x.2010.04747.x
362	10.1111/j.1365-294x.2010.04680.x
366	10.1111/j.1558-5646.2010.01050.x
379	10.1080/106351599260274
383	10.1080/106351599260445
385	10.1093/molbev/msn130
389	10.1086/319193
399	10.1093/sysbio/49.2.363
405	10.1080/10635159950127303
415	10.1534/genetics.104.028712
422	10.1080/106351599259988
432	10.1093/sysbio/46.1.145
438	10.1093/sysbio/46.4.654
448	10.1093/sysbio/46.3.426
454	10.1080/106351502753475880
456	10.1093/sysbio/45.3.308
457	10.1080/106351501753462812
464	10.1534/genetics.103.021766
471	10.1086/648603
481	10.1111/j.1558-5646.2010.01096.x
483	10.1111/j.1558-5646.2010.01079.x
487	10.1080/10635150290102465
497	10.1371/journal.pone.0022392
503	10.1111/j.1420-9101.2011.02333.x
505	10.1093/jhered/esq101
514	10.1111/j.1365-294x.2010.04816.x
520	10.1111/j.1365-294x.2010.04633.x
530	10.1111/j.1365-294x.2009.04292.x
536	10.1111/j.1558-5646.2010.01097.x
553	10.1111/j.1365-294x.2011.05025.x
563	10.1666/10042.1
579	10.1126/science.1197696
585	10.1111/j.1365-294x.2010.04888.x
602	10.1093/sysbio/syr076
612	10.1093/sysbio/syq072
634	10.1111/j.1365-294x.2011.05198.x
645	10.1111/j.1365-294x.2011.05028.x
651	10.1111/j.1558-5646.2010.01175.x
667	10.1111/j.1365-294x.2010.04988.x
677	10.1111/j.1365-294x.2011.05107.x
684	10.1111/j.1365-294x.2009.04348.x
700	10.1093/jhered/esr024
710	10.1111/j.1365-294x.2011.05005.x
716	10.1111/j.1365-294x.2011.05067.x
726	10.1111/j.1365-294x.2010.04843.x
733	10.1111/j.1365-294x.2010.04926.x
743	10.1111/j.1755-0998.2011.03022.x
749	10.1093/jhered/esr047
759	10.1086/661248
765	10.1111/j.1558-5646.2010.01213.x
792	10.1111/j.1755-0998.2010.02973.x
798	10.1111/j.1752-4571.2011.00207.x
802	10.1666/09050.1
808	10.1111/j.1095-8312.2011.01730.x
815	10.1086/661898
818	10.1086/661906
825	10.1111/j.1558-5646.2012.01600.x
831	10.1111/j.1558-5646.2011.01445.x
835	10.1111/j.1365-294x.2011.05229.x
851	10.1111/j.1752-4571.2011.00210.x
857	10.1136/bmjopen-2010-000019
868	10.1111/j.1365-294x.2011.05264.x
874	10.1111/j.1365-294x.2011.05252.x
884	10.1111/j.1558-5646.2011.01348.x
890	10.1111/j.1558-5646.2011.01455.x
896	10.1111/j.1558-5646.2011.01428.x
900	10.1111/j.1558-5646.2011.01459.x
917	10.1111/j.1558-5646.2011.01397.x
923	10.1666/10036.1
