data_package	quaesitor_results
2	Acrocephalus arundinaceus
2	Acrocephalus melanopogon
2	Acrocephalus palustris
2	Acrocephalus schoenobaenus
2	Acrocephalus scirpaceus
2	Aegithalos caudatus
2	Age refugia
2	Alauda arvensis
2	Anthus pratensis
2	Anthus spinoletta
2	Anthus trivialis
2	Biologica de
2	Bombycilla garrulus
2	Calandrella brachydactyla
2	Calcarius lapponicus
2	Carduelis cannabina
2	Carduelis carduelis
2	Carduelis flammea
2	Carduelis hornemanni
2	Carpodacus erythrinus
2	Certhia brachydactyla
2	Certhia familiaris
2	Cinclus cinclus
2	Coccothraustes coccothraustes
2	Corvus corax
2	Delichon urbica
2	Diego iban
2	Emberiza aureola
2	Emberiza cia
2	Emberiza cirlus
2	Emberiza citrinella
2	Emberiza hortulana
2	Emberiza melanocephala
2	Emberiza rustica
2	Emberiza schoeniclus
2	Eremophila alpestris
2	Ficedula albicollis
2	Ficedula hypoleuca
2	Ficedula parva
2	Fringilla coelebs
2	Fringilla montifringilla
2	Garrulus glandarius
2	Hippolais icterina
2	Hippolais polyglotta
2	Ice age
2	Juan diego
2	Junta de
2	Lanius collurio
2	Lanius excubitor
2	Lanius senator
2	Locustella luscinioides
2	Locustella naevia
2	Loxia curvirostra
2	Loxia leucoptera
2	Loxia pytyopsittacus
2	Luscinia luscinia
2	Luscinia megarhynchos
2	Luscinia svecica
2	Miliaria calandra
2	Monticola peraltasa
2	Monticola saxatilis
2	Motacilla alba
2	Motacilla cinerea
2	Motacilla flava
2	Muscicapa striata
2	Nucifraga caryocatactes
2	Oenanthe oenanthe
2	Oriolus oriolus
2	Panurus biarmicus
2	Parus ater
2	Parus cristatus
2	Parus montanus
2	Parus palustris
2	Passer domesticus
2	Passer hispaniolensis
2	Passer montanus
2	Perisoreus infaustus
2	Phoenicurus ochruros
2	Phoenicurus phoenicurus
2	Phylloscopus bonelli
2	Phylloscopus collybita
2	Phylloscopus sibilatrix
2	Phylloscopus trochilus
2	Pica pica
2	Pinicola enucleator
2	Plectrophenax nivalis
2	Prunella collaris
2	Prunella modularis
2	Pyrrhocorax graculus
2	Pyrrhocorax pyrrhocorax
