Data_package	Data_package_type	total words
2	pdf	6551
6	pdf	3445
12	pdf	6772
18	pdf	2796
22	pdf	8809
29	pdf	6478
39	pdf	9995
45	pdf	7384
51	pdf	11548
56	pdf	4955
61	pdf	2171
67	pdf	7502
78	pdf	5157
84	pdf	4617
88	pdf	5341
94	pdf	7204
100	pdf	7563
104	pdf	9119
110	pdf	7717
117	pdf	6278
121	pdf	7113
127	pdf	7372
133	pdf	4738
137	pdf	3523
143	pdf	3841
149	pdf	7963
153	pdf	12907
160	pdf	5150
166	pdf	3436
170	pdf	15679
176	pdf	2197
182	pdf	9715
186	pdf	3455
192	pdf	1355
198	pdf	5838
202	pdf	9597
209	pdf	8135
215	pdf	8252
219	pdf	7730
225	pdf	9899
231	pdf	3259
241	pdf	8959
252	pdf	7311
258	pdf	4759
264	pdf	4864
268	pdf	7256
269	pdf	7391
274	pdf	9857
280	pdf	7913
284	pdf	7815
291	pdf	3311
297	pdf	6243
301	pdf	7341
304	pdf	8009
307	pdf	8368
313	pdf	9292
317	pdf	2203
320	pdf	6553
323	pdf	7592
329	pdf	6280
333	pdf	7040
340	pdf	13323
346	pdf	9078
350	pdf	7825
356	pdf	7796
362	pdf	8060
366	pdf	12779
379	pdf	6261
383	pdf	2790
385	pdf	5716
389	pdf	7132
399	pdf	3850
405	pdf	5213
415	pdf	6748
422	pdf	10033
432	pdf	7000
438	pdf	7000
448	pdf	7000
454	pdf	8194
456	pdf	7000
457	pdf	10043
464	pdf	7981
471	pdf	3224
481	pdf	10231
483	pdf	9207
487	pdf	221
497	pdf	6018
503	pdf	5839
505	pdf	4698
514	pdf	6555
520	pdf	7076
530	pdf	6768
536	pdf	9268
553	pdf	10301
563	pdf	10471
579	pdf	706
585	pdf	7428
595	pdf	7488
602	pdf	5101
612	pdf	4684
634	pdf	6848
645	pdf	6603
651	pdf	9082
667	pdf	9055
677	pdf	6236
684	pdf	9267
700	pdf	5980
710	pdf	7406
716	pdf	9301
726	pdf	8514
733	pdf	5378
743	pdf	7326
749	pdf	1882
759	pdf	6953
765	pdf	7305
792	pdf	12606
798	pdf	7866
802	pdf	5581
808	pdf	4499
815	pdf	5488
818	pdf	7443
825	pdf	5048
831	pdf	8677
835	pdf	7404
851	pdf	7448
857	pdf	2255
868	pdf	8448
874	pdf	8069
884	pdf	4332
890	pdf	6980
896	pdf	1342
900	pdf	12266
917	pdf	7688
923	pdf	5403
929	pdf	7834
933	pdf	9889
939	pdf	6625
946	pdf	9049
949	pdf	5385
956	pdf	6845
962	pdf	9351
966	pdf	7419
972	pdf	9670
978	pdf	4464
982	pdf	8680
988	pdf	5003
999	pdf	8354
1005	pdf	7093
1011	pdf	2980
1027	pdf	6702
1031	pdf	6492
1038	pdf	10388
1044	pdf	6936
1048	pdf	6314
1054	pdf	10256
1060	pdf	52825
1070	pdf	5949
1076	pdf	7323
1080	pdf	4267
1087	pdf	6727
1093	pdf	3252
1097	pdf	3988
1103	pdf	3797
1109	pdf	7915
1113	pdf	3473
1119	pdf	14120
1142	pdf	4541
1146	pdf	8175
1158	pdf	8299
1175	pdf	7623
1179	pdf	3902
1185	pdf	5550
1191	pdf	7628
1195	pdf	6301
1201	pdf	9021
1207	pdf	5561
1218	pdf	8757
1224	pdf	5225
1228	pdf	6764
1234	pdf	8353
1240	pdf	5758
1250	pdf	6086
1257	pdf	8605
1261	pdf	5761
1273	pdf	9401
1277	pdf	6169
1283	pdf	3572
1292	pdf	7672
1293	pdf	5362
1310	pdf	7523
1316	pdf	6842
1322	pdf	
1326	pdf	7278
1332	pdf	14164
1338	pdf	6671
1349	pdf	7521
1359	pdf	5746
1365	pdf	8259
1371	pdf	7546
1375	pdf	6706
1381	pdf	3812
1388	pdf	6773
1392	pdf	9841
1398	pdf	5353
1404	pdf	5714
1414	pdf	7230
1420	pdf	8739
1424	pdf	
1431	pdf	3664
1437	pdf	3052
1441	pdf	7818
1447	pdf	5438
1453	pdf	5169
1457	pdf	7293
1463	pdf	5915
1469	pdf	3312
1473	pdf	2882
1480	pdf	6373
1502	pdf	3946
1506	pdf	
1508	pdf	7985
1519	pdf	7779
1523	pdf	7915
